"Timestamp","Nombor Enumerator","Jantina","Umur","Bangsa","Negeri","Tahap Pendidikan","Adakah anda sedang menjalankan perniagaan?","Nama Syarikat Perniagaan","Jenis Pendaftaran Perniagaan","Bidang Perniagaan","Negeri","Anggaran Jualan Bulanan (Tahunan) Syarikat Semasa","Bahagian, Jabatan, dan Agensi di bawah KKDW pemberi manfaat (boleh lebih daripada 1 jawapan)","Jenis bantuan / kemudahan yang telah di terima  (boleh lebih daripada 1 jawapan)","Anggaran Jualan Bulanan (Tahunan) Syarikat Sebelum Menyertai Program Keusahawanan KKDW","Sejauh manakah anda bersetuju bahawa terdapat akses yang terhad kepada pembiayaan modal, infrastruktur, teknologi, peluang latihan, mentorship dan lain-lain?","Sejauh mana anda percaya bahawa terdapat jurang dalam pendidikan dan kemahiran di kalangan masyarakat kita seperti pembangunan kemahiran, dan keperluan pasaran dan industri?","Sejauh mana anda merasakan bahawa cabaran sosioekonomi seperti modal dan stigma masyarakat mempengaruhi peluang pembangunan peribadi?","Sejauh mana anda mengalami kesukaran dalam mendapatkan rangkaian (networking) yang mencukupi untuk perkembangan peribadi atau perniagaan anda?","Sejauh mana anda percaya bahawa masyarakat kita tidak mempunyai keupayaan bersaing dalam ekonomi global?","Sejauh mana anda menganggap bahawa halangan perundangan dan peraturan (regulasi) mempengaruhi perkembangan perniagaan atau aktiviti sosial?","Sejauh mana anda bersetuju bahawa kekurangan wira aspirasi (ikon / mentor / coach) merupakan cabaran utama dalam mencapai matlamat peribadi atau profesional?","Sejauh mana anda melihat kelestarian (sustainability) dan sistem sokongan komprehensif sebagai elemen penting dalam membangunkan komuniti usahawan?","Nyatakan isu-isu selain yang dinyatakan di atas (jika ada)","Sejauh manakah anda bersetuju bahawa program keusahawanan patut di uruskan dengan lebih sistematik merentasi agensi di bawah selian KKDW dan juga di kementerian lain, untuk mengelakkan sebarang bentuk duplikasi (program sama)?","Sejauh manakah anda percaya bahawa usaha penstrukturan semula patut di ambil terhadap fungsi dan peranan keusahawanan di setiap Bahagian, Jabatan, dan Agensi dalam KKDW?","Sejauh manakah anda bersetuju bahawa KKDW perlu menyediakan ruang serta sokongan kepada usahawan agar mampu bersaing dan maju dalam perniagaan?","Sejauh mana anda bersetuju bahawa KKDW patut memberikan penekanan kepada impak setiap program bagi memastikan hasil pelaburan (Return on Invesment) dikeluarkan kerajaan adalah setimpal.","Sila nyatakan pandangan dan cadangan anda bagi menambahbaik program keusahawanan di bawah KKDW."
"2023/11/22 12:03:56 pm GMT+8","PUTRA05","Perempuan","25 - 54 tahun","Melayu","Kedah","Ijazah Sarjana Muda","Ya","Ambang Dorongan Sdn Bhd","Syarikat Sendirian Berhad (Sdn Bhd)","Makanan & Minuman (F&B)","Kedah","RM25,000 hingga RM1.25juta sebulan (RM300,000 hingga RM15juta tahunan)","MARA- Majlis Amanah Rakyat;KEDA - Lembaga Kemajuah Wilayah Kedah","Geran bantuan;Pinjaman (modal pusingan, aset, alatan);Promosi / pemasaran","RM12,500 hingga RM25,000 sebulan (RM150,000 hingga RM300,000 tahunan)","5","4","4","3","2","4","2","4","","5","4","4","5",""
"2023/11/22 12:05:26 pm GMT+8","PUTRA08","Perempuan","25 - 54 tahun","Melayu","Negeri Sembilan","Ijazah Sarjana Muda","Ya","Legacy fashionista","Syarikat Sendirian Berhad (Sdn Bhd)","Selain di atas","Negeri Sembilan","RM2,000 hingga RM5,000 sebulan (RM24,000 hingga RM60,000 tahunan)","RISDA - Pihak Berkuasa Kemajuan Pekebun Kecil Perusahaan Getah","Peralatan (in kind)","RM2,000 hingga RM5,000 sebulan (RM24,000 hingga RM60,000 tahunan)","2","3","4","4","2","2","4","4","","4","4","4","4",""
"2023/11/22 12:06:21 pm GMT+8","PUTRA06","Lelaki","15 - 24 tahun","Melayu","Selangor","Ijazah Sarjana Muda","Ya","Monstr Confectionery SDN BHD","Syarikat Sendirian Berhad (Sdn Bhd)","Makanan & Minuman (F&B)","Selangor","RM25,000 hingga RM1.25juta sebulan (RM300,000 hingga RM15juta tahunan)","MARA- Majlis Amanah Rakyat","Pinjaman (modal pusingan, aset, alatan);Perniagaan online;Promosi / pemasaran;Packaging;Business matching","RM25,000 hingga RM1.25juta sebulan (RM300,000 hingga RM15juta tahunan)","4","4","4","3","2","4","2","2","","4","4","4","4",""
"2023/11/22 12:06:55 pm GMT+8","PUTRA09","Perempuan","25 - 54 tahun","Melayu","WP Kuala Lumpur","SPM","Ya","Dyus Rich Enterprise","Milikan Tunggal (Enterprise)","Makanan & Minuman (F&B)","WP Kuala Lumpur","RM12,500 hingga RM25,000 sebulan (RM150,000 hingga RM300,000 tahunan)","RISDA - Pihak Berkuasa Kemajuan Pekebun Kecil Perusahaan Getah","Geran bantuan;Peralatan (in kind);Peralatan (in kind + latihan)","RM12,500 hingga RM25,000 sebulan (RM150,000 hingga RM300,000 tahunan)","5","4","3","4","2","4","4","3","","3","4","5","4","Sokongan dalam event event "
"2023/11/22 12:06:55 pm GMT+8","PUTRA07","Perempuan","25 - 54 tahun","Melayu","WP Kuala Lumpur","SPM","Ya","Dyus","Milikan Tunggal (Enterprise)","Makanan & Minuman (F&B)","WP Kuala Lumpur","RM12,500 hingga RM25,000 sebulan (RM150,000 hingga RM300,000 tahunan)","RISDA - Pihak Berkuasa Kemajuan Pekebun Kecil Perusahaan Getah","Geran bantuan;Peralatan (in kind + latihan);Latihan sahaja;Packaging","RM12,500 hingga RM25,000 sebulan (RM150,000 hingga RM300,000 tahunan)","4","3","4","4","4","3","4","4","","5","4","5","4","Sokongan dana and marketing"
"2023/11/22 12:09:51 pm GMT+8","PUTRA08","Perempuan","15 - 24 tahun","Melayu","WP Kuala Lumpur","Ijazah Sarjana Muda","Tidak","","","","","","MARA- Majlis Amanah Rakyat;RISDA - Pihak Berkuasa Kemajuan Pekebun Kecil Perusahaan Getah;FELCRA - Lembaga Penyatuan dan Pemulihan Tanah Persekutuan","Pembiayaan (dana bank);Gerai / warung desa;Perniagaan online;Promosi / pemasaran","RM5,000 hingga RM12,500 sebulan (RM60,000 hingga RM150,000 tahunan)","3","2","4","2","2","3","4","4","","4","4","4","4",""
"2023/11/22 12:11:39 pm GMT+8","PUTRA07","Perempuan","25 - 54 tahun","Melayu","Selangor","Diploma","Ya","Queisha collection","Milikan Tunggal (Enterprise)","Pembuatan - Perabot, Kraftangan dll","Selangor","RM12,500 hingga RM25,000 sebulan (RM150,000 hingga RM300,000 tahunan)","RISDA - Pihak Berkuasa Kemajuan Pekebun Kecil Perusahaan Getah","Peralatan (in kind);Latihan sahaja","RM12,500 hingga RM25,000 sebulan (RM150,000 hingga RM300,000 tahunan)","4","3","4","3","4","3","3","4","","3","4","3","3","Bantuan dana "
"2023/11/22 12:11:45 pm GMT+8","PUTRA09","Perempuan","25 - 54 tahun","Melayu","Selangor","Diploma","Ya","Quiesha collection ","Milikan Tunggal (Enterprise)","Pembuatan - Perabot, Kraftangan dll","Selangor","RM12,500 hingga RM25,000 sebulan (RM150,000 hingga RM300,000 tahunan)","RISDA - Pihak Berkuasa Kemajuan Pekebun Kecil Perusahaan Getah","Geran bantuan;Peralatan (in kind);Peralatan (in kind + latihan)","RM12,500 hingga RM25,000 sebulan (RM150,000 hingga RM300,000 tahunan)","5","4","3","4","4","3","4","5","","4","4","3","4","Bantuan Modal dan Dana "
"2023/11/22 12:12:17 pm GMT+8","PUTRA08","Perempuan","15 - 24 tahun","Melayu","WP Kuala Lumpur","Ijazah Sarjana Muda","Tidak","","","","","","MARA- Majlis Amanah Rakyat","Geran bantuan;Pinjaman (modal pusingan, aset, alatan)","RM12,500 hingga RM25,000 sebulan (RM150,000 hingga RM300,000 tahunan)","4","4","4","3","2","3","3","4","","4","4","4","4",""
"2023/11/22 12:12:44 pm GMT+8","PUTRA10","Perempuan","25 - 54 tahun","Melayu","Perak","SPM","Ya","Mariyaton Kaftiah Yusof","Milikan Tunggal (Enterprise)","Makanan & Minuman (F&B)","Perak","RM2,000 hingga RM5,000 sebulan (RM24,000 hingga RM60,000 tahunan)","FELCRA - Lembaga Penyatuan dan Pemulihan Tanah Persekutuan","Geran bantuan","RM2,000 hingga RM5,000 sebulan (RM24,000 hingga RM60,000 tahunan)","4","2","5","2","2","2","2","5","Perbanyakkan War war produk golongan iks di media sosial","5","2","5","5","Adakan selalu program sebegini "
"2023/11/22 12:12:48 pm GMT+8","PUTRA03","Lelaki","15 - 24 tahun","Melayu","Selangor","Diploma","Ya","Fierawis resources","Milikan Tunggal (Enterprise)","Makanan & Minuman (F&B)","Selangor","RM2,000 hingga RM5,000 sebulan (RM24,000 hingga RM60,000 tahunan)","KEMAS - Jabatan Kemajuan Masyarakat","Latihan sahaja","Kurang RM2,000 sebulan (RM24,000 tahunan)","3","3","4","4","3","5","5","4","Tiada","5","4","5","5","Tiada"
"2023/11/22 12:13:34 pm GMT+8","PUTRA06","Lelaki","15 - 24 tahun","Melayu","Selangor","SPM","Ya","Aducktive food Sdn Bhd","Syarikat Sendirian Berhad (Sdn Bhd)","Makanan & Minuman (F&B)","Selangor","RM2,000 hingga RM5,000 sebulan (RM24,000 hingga RM60,000 tahunan)","MARA- Majlis Amanah Rakyat","Selain di atas","RM2,000 hingga RM5,000 sebulan (RM24,000 hingga RM60,000 tahunan)","5","5","5","5","5","5","5","5","","5","5","5","5",""
"2023/11/22 12:16:33 pm GMT+8","PUTRA07","Perempuan","25 - 54 tahun","Melayu","Terengganu","SPM","Ya","Zalida benderam","Milikan Tunggal (Enterprise)","Makanan & Minuman (F&B)","Terengganu","RM2,000 hingga RM5,000 sebulan (RM24,000 hingga RM60,000 tahunan)","RISDA - Pihak Berkuasa Kemajuan Pekebun Kecil Perusahaan Getah","Geran bantuan;Peralatan (in kind);Latihan sahaja","Kurang RM2,000 sebulan (RM24,000 tahunan)","4","5","3","4","3","4","4","3","","3","4","4","4","Sokongan risda kena jitu "
"2023/11/22 12:16:50 pm GMT+8","PUTRA09","Perempuan","25 - 54 tahun","Melayu","Terengganu","SPM","Ya","Zalida Benderam","Milikan Tunggal (Enterprise)","Makanan & Minuman (F&B)","Terengganu","RM2,000 hingga RM5,000 sebulan (RM24,000 hingga RM60,000 tahunan)","RISDA - Pihak Berkuasa Kemajuan Pekebun Kecil Perusahaan Getah","Geran bantuan;Peralatan (in kind);Peralatan (in kind + latihan);Gerai / warung desa","Kurang RM2,000 sebulan (RM24,000 tahunan)","5","4","3","3","4","3","4","3","","5","4","3","5","Sokongan dari risda untuk usahawan yang berpotensi dan berpengalaman "
"2023/11/22 12:17:16 pm GMT+8","PUTRA08","Perempuan","25 - 54 tahun","Melayu","Perak","SPM","Ya","Putra Afiq Global Sdn Bhd","Syarikat Sendirian Berhad (Sdn Bhd)","Makanan & Minuman (F&B)","Perak","RM25,000 hingga RM1.25juta sebulan (RM300,000 hingga RM15juta tahunan)","MARA- Majlis Amanah Rakyat","Perniagaan online;Packaging","RM5,000 hingga RM12,500 sebulan (RM60,000 hingga RM150,000 tahunan)","3","5","4","3","1","3","3","5","Tiada","5","5","5","5","Tiada"
"2023/11/22 12:24:59 pm GMT+8","PUTRA04","Perempuan","25 - 54 tahun","Melayu","Pahang","Diploma","Tidak","","","","","","KEMAS - Jabatan Kemajuan Masyarakat;RISDA - Pihak Berkuasa Kemajuan Pekebun Kecil Perusahaan Getah;FELCRA - Lembaga Penyatuan dan Pemulihan Tanah Persekutuan;JAKOA - Jabatan Kemajuan Orang Asli;PERDA - Lembaga Kemajuan Wilayah Pulau Pinang;KEDA - Lembaga Kemajuah Wilayah Kedah","Geran bantuan;Promosi / pemasaran;Packaging;Business matching","RM12,500 hingga RM25,000 sebulan (RM150,000 hingga RM300,000 tahunan)","4","4","4","5","4","4","4","4","","4","4","4","4",""
"2023/11/22 12:25:05 pm GMT+8","PUTRA03","Perempuan","25 - 54 tahun","Melayu","Kelantan","Diploma","Ya","SUENA KITCHEN","Milikan Tunggal (Enterprise)","Makanan & Minuman (F&B)","WP Putrajaya","RM5,000 hingga RM12,500 sebulan (RM60,000 hingga RM150,000 tahunan)","MARA- Majlis Amanah Rakyat","Pinjaman (modal pusingan, aset, alatan)","RM5,000 hingga RM12,500 sebulan (RM60,000 hingga RM150,000 tahunan)","4","4","4","4","2","4","3","4","","4","4","4","4",""
"2023/11/22 12:28:20 pm GMT+8","PUTRA06","Lelaki","15 - 24 tahun","Melayu","Selangor","SPM","Ya","MIZAN BRADER INTERPRISE","Perkongsian (Enterprise)","Makanan & Minuman (F&B)","Selangor","RM5,000 hingga RM12,500 sebulan (RM60,000 hingga RM150,000 tahunan)","RISDA - Pihak Berkuasa Kemajuan Pekebun Kecil Perusahaan Getah","Geran bantuan;Perniagaan online;Promosi / pemasaran;Packaging;Business matching","RM2,000 hingga RM5,000 sebulan (RM24,000 hingga RM60,000 tahunan)","5","5","5","5","5","5","5","5","","5","5","5","5",""
"2023/11/22 12:31:56 pm GMT+8","PUTRA03","Perempuan","25 - 54 tahun","Melayu","WP Kuala Lumpur","Diploma","Ya","Nur Samrah Enterprise","Milikan Tunggal (Enterprise)","Makanan & Minuman (F&B)","WP Kuala Lumpur","RM2,000 hingga RM5,000 sebulan (RM24,000 hingga RM60,000 tahunan)","AIM-Amanah Ikhtiar Malaysia","Pinjaman (modal pusingan, aset, alatan)","Kurang RM2,000 sebulan (RM24,000 tahunan)","4","5","4","4","2","2","4","4","","5","5","5","5",""
"2023/11/22 12:32:40 pm GMT+8","PUTRA06","Lelaki","25 - 54 tahun","Melayu","Johor","Diploma","Ya","NK EXCLUSIVE BUSSINES","Perkongsian (Enterprise)","Perkhidmatan - Kecantikan, Tatarias, Fesyen dll","Negeri Sembilan","RM25,000 hingga RM1.25juta sebulan (RM300,000 hingga RM15juta tahunan)","MARA- Majlis Amanah Rakyat","Geran bantuan;Pinjaman (modal pusingan, aset, alatan);Peralatan (in kind);Latihan sahaja;Promosi / pemasaran;Packaging;Business matching","RM25,000 hingga RM1.25juta sebulan (RM300,000 hingga RM15juta tahunan)","3","3","3","3","3","3","3","3","","4","4","4","4",""
"2023/11/22 12:38:01 pm GMT+8","PUTRA03","Lelaki","25 - 54 tahun","Melayu","Selangor","Diploma","Ya","Heras printing","Milikan Tunggal (Enterprise)","Makanan & Minuman (F&B)","Selangor","RM5,000 hingga RM12,500 sebulan (RM60,000 hingga RM150,000 tahunan)","AIM-Amanah Ikhtiar Malaysia","Pinjaman (modal pusingan, aset, alatan)","RM5,000 hingga RM12,500 sebulan (RM60,000 hingga RM150,000 tahunan)","5","5","5","3","5","5","3","5","","5","5","5","5","Terlalu bnyak saingan gerai"
"2023/11/22 12:39:47 pm GMT+8","PUTRA02","Perempuan","15 - 24 tahun","Melayu","Kedah","STPM","Ya","Kredibel utama enterprise","Milikan Tunggal (Enterprise)","Selain di atas","Kedah","RM2,000 hingga RM5,000 sebulan (RM24,000 hingga RM60,000 tahunan)","KEDA - Lembaga Kemajuah Wilayah Kedah","Geran bantuan","Kurang RM2,000 sebulan (RM24,000 tahunan)","3","3","3","3","3","3","3","3","Tiada","3","3","3","3","Sangat baik"
"2023/11/22 12:42:26 pm GMT+8","PUTRA06","Lelaki","15 - 24 tahun","Melayu","Kedah","Sijil","Tidak","","","","","","MARA- Majlis Amanah Rakyat","Gerai / warung desa;Promosi / pemasaran","Kurang RM2,000 sebulan (RM24,000 tahunan)","3","3","3","3","3","3","3","3","","3","3","3","3",""
"2023/11/22 12:42:35 pm GMT+8","PUTRA03","Perempuan","25 - 54 tahun","Melayu","Selangor","Ijazah Sarjana Muda","Ya","SJP EMPIRE ENTERPRISE","Milikan Tunggal (Enterprise)","Perkhidmatan - Kecantikan, Tatarias, Fesyen dll","Selangor","RM2,000 hingga RM5,000 sebulan (RM24,000 hingga RM60,000 tahunan)","AIM-Amanah Ikhtiar Malaysia","Pinjaman (modal pusingan, aset, alatan)","Kurang RM2,000 sebulan (RM24,000 tahunan)","4","4","4","3","3","3","3","4","","4","4","4","4",""
"2023/11/22 12:47:47 pm GMT+8","PUTRA04","Lelaki","25 - 54 tahun","Melayu","Pulau Pinang","SPM","Ya","Jeff Pet station","Milikan Tunggal (Enterprise)","Pelancongan - Pengusaha Chalet/Inap Desa, Agrotourism dll","Pulau Pinang","RM5,000 hingga RM12,500 sebulan (RM60,000 hingga RM150,000 tahunan)","Perhilitan","Pinjaman (modal pusingan, aset, alatan);Pembiayaan (dana bank)","RM2,000 hingga RM5,000 sebulan (RM24,000 hingga RM60,000 tahunan)","3","3","3","3","3","3","3","3","","5","5","5","5",""
"2023/11/22 12:47:54 pm GMT+8","PUTRA03","Perempuan","25 - 54 tahun","Melayu","Selangor","Diploma","Ya","Scarfology","Koperasi","Makanan & Minuman (F&B)","Selangor","RM2,000 hingga RM5,000 sebulan (RM24,000 hingga RM60,000 tahunan)","AIM-Amanah Ikhtiar Malaysia","Gerai / warung desa","Kurang RM2,000 sebulan (RM24,000 tahunan)","5","3","3","3","2","3","4","4","","4","4","4","5",""
"2023/11/22 12:48:12 pm GMT+8","PUTRA06","Lelaki","25 - 54 tahun","Melayu","Negeri Sembilan","Diploma","Ya","AHMA Food Enterprise","Milikan Tunggal (Enterprise)","Makanan & Minuman (F&B)","Negeri Sembilan","RM2,000 hingga RM5,000 sebulan (RM24,000 hingga RM60,000 tahunan)","KEMAS - Jabatan Kemajuan Masyarakat","Selain di atas","Kurang RM2,000 sebulan (RM24,000 tahunan)","5","5","5","5","5","5","5","5","","5","5","5","5",""
"2023/11/22 12:51:53 pm GMT+8","PUTRA03","Perempuan","25 - 54 tahun","Melayu","WP Kuala Lumpur","Ijazah Sarjana Muda","Ya","Koperasi sahabat amanah ikhtiar malaysia","Koperasi","Perkhidmatan - Kecantikan, Tatarias, Fesyen dll","WP Kuala Lumpur","RM5,000 hingga RM12,500 sebulan (RM60,000 hingga RM150,000 tahunan)","AIM-Amanah Ikhtiar Malaysia","Selain di atas","RM2,000 hingga RM5,000 sebulan (RM24,000 hingga RM60,000 tahunan)","2","2","4","4","4","4","2","4","","2","2","4","4",""
"2023/11/22 12:55:50 pm GMT+8","PUTRA02","Perempuan","25 - 54 tahun","Melayu","WP Putrajaya","SPM","Ya","Meriana Resources","Milikan Tunggal (Enterprise)","Selain di atas","WP Putrajaya","RM12,500 hingga RM25,000 sebulan (RM150,000 hingga RM300,000 tahunan)","Tiada","Selain di atas","RM12,500 hingga RM25,000 sebulan (RM150,000 hingga RM300,000 tahunan)","5","5","1","4","3","4","4","4","Memperbaynyakkn peluang utk usahawan dan pervnykkn program seperti KUD ini","5","5","5","5","Kekalkn peluang seperti program KUD"
"2023/11/22 12:58:48 pm GMT+8","PUTRA03","Lelaki","25 - 54 tahun","Melayu","Melaka","Ijazah Sarjana Muda","Ya","S.J Enterprise ","Milikan Tunggal (Enterprise)","Makanan & Minuman (F&B)","Melaka","RM5,000 hingga RM12,500 sebulan (RM60,000 hingga RM150,000 tahunan)","RISDA - Pihak Berkuasa Kemajuan Pekebun Kecil Perusahaan Getah;FELCRA - Lembaga Penyatuan dan Pemulihan Tanah Persekutuan","Geran bantuan;Peralatan (in kind);Perniagaan online;Promosi / pemasaran;Packaging","Kurang RM2,000 sebulan (RM24,000 tahunan)","5","3","4","2","1","5","3","4","","4","4","5","4",""
"2023/11/22 1:05:35 pm GMT+8","PUTRA04","Lelaki","25 - 54 tahun","Melayu","Pahang","Ijazah Sarjana Muda","Ya","Kopi espresso kampung ","Milikan Tunggal (Enterprise)","Makanan & Minuman (F&B)","Pahang","RM2,000 hingga RM5,000 sebulan (RM24,000 hingga RM60,000 tahunan)","RISDA - Pihak Berkuasa Kemajuan Pekebun Kecil Perusahaan Getah","Geran bantuan;Business matching","RM2,000 hingga RM5,000 sebulan (RM24,000 hingga RM60,000 tahunan)","3","5","2","3","4","3","3","3","","5","3","5","5",""
"2023/11/22 1:06:12 pm GMT+8","PUTRA02","Perempuan","25 - 54 tahun","Melayu","Terengganu","Diploma","Ya","Cks","Milikan Tunggal (Enterprise)","Makanan & Minuman (F&B)","Terengganu","RM5,000 hingga RM12,500 sebulan (RM60,000 hingga RM150,000 tahunan)","RISDA - Pihak Berkuasa Kemajuan Pekebun Kecil Perusahaan Getah","Geran bantuan","RM5,000 hingga RM12,500 sebulan (RM60,000 hingga RM150,000 tahunan)","5","5","4","4","1","1","2","3","Tiada ","4","3","4","4","Tiada"
"2023/11/22 1:06:13 pm GMT+8","PUTRA07","Lelaki","25 - 54 tahun","Melayu","Melaka","Sarjana","Ya","Sr agro resources ","Milikan Tunggal (Enterprise)","Makanan & Minuman (F&B)","Melaka","RM2,000 hingga RM5,000 sebulan (RM24,000 hingga RM60,000 tahunan)","RISDA - Pihak Berkuasa Kemajuan Pekebun Kecil Perusahaan Getah","Peralatan (in kind);Peralatan (in kind + latihan)","RM2,000 hingga RM5,000 sebulan (RM24,000 hingga RM60,000 tahunan)","4","3","4","3","4","3","4","3","","3","3","3","4","Tiada"
"2023/11/22 1:06:17 pm GMT+8","PUTRA09","Lelaki","25 - 54 tahun","Melayu","Melaka","Sarjana","Ya","SR ARGO RESOURCES","Milikan Tunggal (Enterprise)","Makanan & Minuman (F&B)","Melaka","RM2,000 hingga RM5,000 sebulan (RM24,000 hingga RM60,000 tahunan)","RISDA - Pihak Berkuasa Kemajuan Pekebun Kecil Perusahaan Getah","Geran bantuan;Pembiayaan (dana bank);Peralatan (in kind);Peralatan (in kind + latihan)","Kurang RM2,000 sebulan (RM24,000 tahunan)","5","4","3","4","4","5","3","3","","4","5","3","5","Tiada"
"2023/11/22 1:09:41 pm GMT+8","PUTRA03","Perempuan","25 - 54 tahun","Melayu","Kedah","Ijazah Sarjana Muda","Ya","KAR INDAH ENTERPRISE","Perkongsian (Enterprise)","Makanan & Minuman (F&B)","Kedah","RM2,000 hingga RM5,000 sebulan (RM24,000 hingga RM60,000 tahunan)","FELCRA - Lembaga Penyatuan dan Pemulihan Tanah Persekutuan","Pinjaman (modal pusingan, aset, alatan);Peralatan (in kind);Peralatan (in kind + latihan);Packaging","RM2,000 hingga RM5,000 sebulan (RM24,000 hingga RM60,000 tahunan)","5","5","5","4","5","5","4","5","","5","5","5","5","Membuka peluang besar kepada belia dari desa khususnya, untuk join program keusahawanan di bawah KKDW, untuk mengetengahkan bakat dan peluang yang diberikan kepada penduduk desa mengembangkan dan memajukan ekonomi di desa."
"2023/11/22 1:09:45 pm GMT+8","PUTRA09","Perempuan","25 - 54 tahun","Melayu","Pahang","Tak tahu","Ya","AYAM KAMPOONG BUMBU SULAWESI ","Milikan Tunggal (Enterprise)","Makanan & Minuman (F&B)","Pahang","RM5,000 hingga RM12,500 sebulan (RM60,000 hingga RM150,000 tahunan)","RISDA - Pihak Berkuasa Kemajuan Pekebun Kecil Perusahaan Getah","Geran bantuan;Peralatan (in kind);Peralatan (in kind + latihan)","RM2,000 hingga RM5,000 sebulan (RM24,000 hingga RM60,000 tahunan)","5","4","3","5","4","5","4","4","","3","5","4","4","Tiada"
"2023/11/22 1:09:58 pm GMT+8","PUTRA07","Perempuan","15 - 24 tahun","Melayu","Pahang","Taktahu","Ya","Ayam  kampung bumbu Sulawesi ","Milikan Tunggal (Enterprise)","Makanan & Minuman (F&B)","Pahang","RM5,000 hingga RM12,500 sebulan (RM60,000 hingga RM150,000 tahunan)","RISDA - Pihak Berkuasa Kemajuan Pekebun Kecil Perusahaan Getah","Peralatan (in kind);Peralatan (in kind + latihan)","RM2,000 hingga RM5,000 sebulan (RM24,000 hingga RM60,000 tahunan)","3","4","3","4","4","3","4","3","","4","3","3","4","Tiada"
"2023/11/22 1:12:10 pm GMT+8","PUTRA01","Lelaki","15 - 24 tahun","Melayu","Kedah","SPM","Ya","Nm family’s enterprise","Milikan Tunggal (Enterprise)","Makanan & Minuman (F&B)","Kedah","RM2,000 hingga RM5,000 sebulan (RM24,000 hingga RM60,000 tahunan)","RISDA - Pihak Berkuasa Kemajuan Pekebun Kecil Perusahaan Getah","Latihan sahaja","Kurang RM2,000 sebulan (RM24,000 tahunan)","3","3","3","3","3","3","3","3","","4","3","3","3",""
"2023/11/22 1:12:56 pm GMT+8","PUTRA07","Lelaki","15 - 24 tahun","Melayu","Pahang","SPM","Ya","Cendol lily","Milikan Tunggal (Enterprise)","Makanan & Minuman (F&B)","Pahang","RM2,000 hingga RM5,000 sebulan (RM24,000 hingga RM60,000 tahunan)","RISDA - Pihak Berkuasa Kemajuan Pekebun Kecil Perusahaan Getah;FELCRA - Lembaga Penyatuan dan Pemulihan Tanah Persekutuan","Geran bantuan;Peralatan (in kind + latihan);Packaging","RM2,000 hingga RM5,000 sebulan (RM24,000 hingga RM60,000 tahunan)","4","4","4","4","4","4","4","4","","5","4","3","4","Food truck untuk marketing"
"2023/11/22 1:13:00 pm GMT+8","PUTRA09","Lelaki","15 - 24 tahun","Melayu","Pahang","SPM","Ya","Cendollily","Milikan Tunggal (Enterprise)","Makanan & Minuman (F&B)","Pahang","RM12,500 hingga RM25,000 sebulan (RM150,000 hingga RM300,000 tahunan)","RISDA - Pihak Berkuasa Kemajuan Pekebun Kecil Perusahaan Getah","Geran bantuan;Peralatan (in kind);Peralatan (in kind + latihan);Gerai / warung desa;Packaging","RM5,000 hingga RM12,500 sebulan (RM60,000 hingga RM150,000 tahunan)","5","3","4","5","4","3","4","4","","5","3","5","5","Bantuan foodtruck untuk menyebarkan nama di semenanjung malaysia"
"2023/11/22 1:13:57 pm GMT+8","PUTRA10","Perempuan","15 - 24 tahun","Melayu","WP Kuala Lumpur","Diploma","Tidak","","","","","","MARA- Majlis Amanah Rakyat;AIM-Amanah Ikhtiar Malaysia","Pembiayaan (dana bank)","Kurang RM2,000 sebulan (RM24,000 tahunan)","3","4","4","4","2","3","4","4","","4","4","4","4",""
"2023/11/22 1:16:22 pm GMT+8","PUTRA07","Perempuan","25 - 54 tahun","Melayu","Pahang","Ijazah Sarjana Muda","Ya","Zalmiah maju ","Milikan Tunggal (Enterprise)","Makanan & Minuman (F&B)","Pahang","RM25,000 hingga RM1.25juta sebulan (RM300,000 hingga RM15juta tahunan)","RISDA - Pihak Berkuasa Kemajuan Pekebun Kecil Perusahaan Getah","Geran bantuan;Peralatan (in kind + latihan);Gerai / warung desa;Packaging","Kurang RM2,000 sebulan (RM24,000 tahunan)","4","3","4","3","4","3","4","3","","3","3","3","3","Modal pusingan "
"2023/11/22 1:16:31 pm GMT+8","PUTRA09","Perempuan","25 - 54 tahun","Melayu","Pahang","Ijazah Sarjana Muda","Ya","Alamiah Maju ENTERPRISE ","Milikan Tunggal (Enterprise)","Makanan & Minuman (F&B)","Pahang","RM25,000 hingga RM1.25juta sebulan (RM300,000 hingga RM15juta tahunan)","RISDA - Pihak Berkuasa Kemajuan Pekebun Kecil Perusahaan Getah","Geran bantuan;Pembiayaan (dana bank);Peralatan (in kind);Peralatan (in kind + latihan);Gerai / warung desa;Packaging","Kurang RM2,000 sebulan (RM24,000 tahunan)","5","4","3","4","5","4","3","4","","3","5","4","4","Modal pusingan dalam geran dan pinjaman kos"
"2023/11/22 1:17:14 pm GMT+8","PUTRA10","Perempuan","15 - 24 tahun","Melayu","Johor","Diploma","Tidak","","","","","","MARA- Majlis Amanah Rakyat","Pinjaman (modal pusingan, aset, alatan)","Kurang RM2,000 sebulan (RM24,000 tahunan)","4","4","3","3","3","3","3","3","","3","3","3","3",""
